frame, x, y
51, 157, 482
63, 221, 509
64, 253, 504
65, 293, 505
66, 315, 497
67, 358, 505
68, 397, 508
69, 431, 507
70, 456, 509
71, 494, 504
72, 530, 504
73, 559, 508
74, 590, 508
75, 629, 504
76, 665, 508
77, 701, 511
78, 728, 510
79, 768, 504
80, 800, 500
81, 831, 494
82, 864, 505
83, 899, 498
84, 931, 497
85, 968, 504
86, 990, 486
87, 1028, 489
88, 1056, 488
89, 1090, 486
90, 1128, 482
91, 1154, 481
92, 1179, 476
93, 1177, 476
94, 1161, 474
95, 1156, 471
96, 1148, 470
97, 1145, 464
98, 1130, 464
99, 1127, 462
100, 1123, 456
101, 1120, 453
102, 1112, 448
103, 1104, 431
104, 1098, 441
105, 1087, 436
106, 1087, 436
107, 1070, 424
108, 1065, 420
109, 1056, 413
110, 1053, 411
111, 1052, 404
112, 1040, 393
113, 1036, 388
114, 1022, 379
115, 1017, 382
116, 1018, 382
117, 1015, 379
118, 1001, 370
119, 982, 352
120, 982, 348
121, 980, 335
122, 978, 330
123, 969, 326
124, 963, 307
125, 963, 317
126, 956, 308
127, 947, 299
128, 937, 292
129, 938, 293
130, 937, 286
131, 928, 281
132, 924, 278
133, 917, 271
134, 910, 258
135, 900, 256
136, 896, 255
137, 889, 249
138, 887, 256
139, 881, 248
140, 882, 248
141, 877, 249
141, 870, 244
142, 869, 244
143, 857, 243
144, 854, 242
145, 848, 242
146, 847, 241
147, 837, 245
148, 833, 251
149, 830, 258
150, 838, 253
151, 847, 260
152, 854, 265
153, 869, 263
154, 875, 261
155, 882, 264
156, 891, 274
157, 899, 274
158, 901, 274
159, 910, 273
160, 919, 276
161, 928, 280
162, 940, 287
163, 945, 288
164, 952, 294
165, 957, 296
166, 964, 307
167, 969, 307
168, 982, 314
169, 982, 313
170, 986, 317
171, 989, 320
172, 997, 325
173, 1007, 330
174, 1012, 340
175, 1011, 336
176, 1021, 346
177, 1023, 344
178, 1028, 350
179, 1034, 353
180, 1035, 353
181, 1040, 355
182, 1052, 355
183, 1063, 361
184, 1053, 359
185, 1058, 363
186, 1063, 362
187, 1068, 363
188, 1072, 367
189, 1071, 363
190, 1073, 369
191, 1066, 378
192, 1061, 379
193, 1061, 375
194, 1062, 386
195, 1061, 387
196, 1052, 390
197, 1052, 390
198, 1053, 387
199, 1052, 388
201, 1041, 394
202, 1044, 394
203, 1039, 394
204, 1037, 390
205, 1034, 384
206, 1034, 385
207, 1040, 387
208, 1031, 380
209, 1030, 379
210, 1025, 376
211, 1025, 374
212, 1019, 367
213, 1018, 366
214, 1016, 366
215, 1008, 361
216, 1003, 349
217, 1009, 351
218, 1001, 352
219, 1007, 346
220, 1004, 344
221, 999, 344
222, 969, 347
223, 948, 338
224, 920, 334
225, 878, 324
226, 876, 322
227, 847, 322
228, 826, 310
229, 810, 311
230, 776, 302
231, 754, 300
232, 739, 298
233, 721, 292
234, 695, 292
235, 674, 289
236, 655, 284
237, 644, 281
238, 625, 278
239, 599, 276
240, 577, 272
241, 558, 271
242, 547, 266
243, 550, 274
244, 538, 270
245, 529, 273
246, 531, 279
247, 533, 285
248, 528, 280
249, 526, 292
250, 533, 293
251, 538, 295
252, 538, 303
253, 540, 310
254, 539, 315
255, 540, 318
256, 541, 316
257, 547, 320
258, 546, 323
259, 553, 328
259, 550, 324
260, 558, 336
261, 560, 335
262, 562, 335
263, 565, 345
264, 569, 348
265, 574, 349
266, 577, 350
267, 581, 353
268, 585, 358
269, 581, 360
270, 589, 362
272, 602, 366
273, 604, 366
274, 615, 360
275, 624, 367
276, 621, 374
277, 630, 376
278, 639, 373
279, 644, 367
280, 641, 372
281, 645, 375
282, 657, 374
283, 658, 375
284, 658, 377
285, 664, 381
286, 671, 386
287, 670, 381
288, 675, 385
289, 683, 396
290, 691, 395
291, 686, 397
292, 701, 403
293, 698, 393
294, 700, 396
295, 705, 396
296, 708, 394
297, 718, 390
298, 725, 389
299, 721, 396
300, 734, 394
301, 735, 394
302, 721, 381
303, 712, 368
304, 710, 365
305, 702, 350
306, 695, 339
306, 699, 349
307, 688, 335
308, 683, 326
309, 672, 308
310, 659, 297
311, 655, 292
312, 652, 288
313, 652, 275
314, 652, 268
315, 640, 257
316, 636, 253
317, 633, 244
318, 628, 236
319, 627, 235
320, 628, 220
321, 615, 224
322, 606, 211
323, 608, 210
324, 606, 210
325, 600, 209
326, 593, 203
327, 589, 202
328, 586, 203
329, 587, 207
330, 589, 206
331, 582, 204
332, 580, 200
333, 572, 201
334, 571, 208
335, 566, 210
336, 558, 216
337, 570, 212
338, 565, 220
339, 564, 227
340, 567, 228
341, 566, 228
342, 571, 237
343, 568, 241
343, 566, 235
344, 476, 232
345, 425, 237
346, 358, 263
347, 312, 262
348, 324, 268
349, 371, 274
350, 366, 283
351, 381, 288
352, 382, 297
353, 395, 308
354, 402, 308
355, 407, 315
356, 409, 315
357, 420, 329
358, 432, 329
359, 434, 330
360, 436, 334
361, 452, 356
362, 456, 359
363, 460, 358
364, 477, 363
365, 483, 373
366, 502, 381
367, 502, 381
368, 505, 384
375, 468, 420
376, 414, 412
377, 371, 419
379, 353, 400
380, 343, 385
381, 324, 375
382, 320, 363
383, 312, 352
384, 307, 339
385, 285, 334
386, 286, 316
387, 268, 302
388, 266, 297
389, 257, 289
390, 250, 280
391, 243, 273
392, 242, 259
393, 235, 252
394, 231, 240
395, 230, 230
396, 224, 218
397, 222, 212
398, 221, 199
399, 215, 201
400, 211, 203
401, 211, 190
402, 204, 179
403, 199, 179
404, 198, 173
405, 196, 171
406, 198, 167
407, 197, 166
408, 193, 165
409, 193, 164
410, 190, 162
411, 190, 158
412, 191, 159
413, 192, 151
414, 193, 156
415, 197, 157
416, 202, 159
417, 205, 161
418, 206, 162
419, 209, 162
420, 220, 159
421, 228, 162
422, 223, 163
423, 226, 162
424, 228, 162
425, 234, 161
426, 237, 161
427, 244, 167
428, 246, 167
429, 252, 169
430, 255, 169
431, 264, 172
432, 270, 183
433, 278, 188
434, 283, 193
448, 386, 184
452, 421, 172
453, 431, 171
454, 446, 169
455, 457, 178
456, 465, 178
457, 479, 169
458, 485, 174
459, 492, 178
460, 504, 182
461, 513, 183
462, 529, 184
463, 534, 187
464, 539, 200
465, 547, 206
466, 555, 203
467, 576, 208
468, 581, 220
469, 597, 224
470, 605, 228
471, 616, 233
472, 623, 241
473, 636, 248
473, 633, 245
474, 647, 258
475, 654, 266
476, 670, 272
477, 677, 275
478, 689, 288
479, 705, 298
480, 708, 304
481, 717, 307
482, 730, 322
483, 741, 325
484, 758, 332
485, 764, 345
486, 771, 350
487, 787, 359
488, 792, 360
489, 802, 367
490, 816, 380
491, 829, 388
492, 840, 393
493, 850, 393
495, 869, 407
496, 880, 415
497, 893, 422
498, 905, 425
499, 912, 427
500, 924, 442
501, 930, 436
502, 943, 439
503, 958, 451
504, 968, 446
505, 982, 445
506, 987, 448
507, 995, 449
508, 1007, 447
509, 1008, 433
510, 1022, 438
511, 1028, 443
512, 1043, 433
513, 1046, 428
514, 1052, 423
515, 1056, 419
516, 1063, 413
517, 1067, 405
518, 1073, 405
519, 1077, 393
520, 1081, 395
521, 1094, 386
522, 1088, 383
523, 1093, 376
524, 1096, 367
525, 1099, 366
526, 1099, 362
527, 1107, 358
528, 1109, 354
529, 1112, 347
530, 1113, 340
531, 1116, 340
532, 1120, 345
533, 1121, 339
534, 1123, 332
535, 1122, 330
536, 1123, 327
537, 1123, 321
538, 1125, 309
539, 1127, 314
540, 1127, 309
541, 1125, 313
542, 1121, 314
543, 1116, 316
544, 1115, 317
545, 1110, 317
546, 1113, 317
547, 1107, 319
548, 1107, 318
549, 1105, 318
550, 1098, 323
551, 1096, 324
552, 1093, 323
553, 1094, 326
554, 1093, 321
555, 1091, 329
556, 1084, 329
557, 1079, 330
558, 1075, 330
559, 1068, 334
560, 1054, 327
561, 1054, 326
562, 1050, 329
563, 1044, 326
564, 1040, 320
565, 1038, 319
566, 1031, 314
567, 1030, 314
568, 1034, 313
569, 1034, 313
570, 1035, 315
571, 1035, 315
572, 1034, 321
573, 1034, 321
574, 1034, 323
575, 1034, 324
576, 1032, 323
577, 1033, 324
578, 1035, 330
579, 1035, 330
580, 1036, 332
581, 1037, 333
582, 1030, 326
583, 1036, 331
584, 1036, 331
585, 1036, 331
586, 1036, 331
587, 1036, 331
588, 1036, 331
589, 1041, 327
590, 1036, 328
591, 1036, 329
592, 1036, 329
593, 1036, 328
594, 1036, 329
595, 1036, 329
596, 1036, 329
597, 1036, 329
598, 1036, 329
599, 1036, 330
600, 1036, 330
601, 1036, 331
602, 1036, 332
