,frame, x, y
0,51,157,482
1,63,221,509
2,64,253,504
3,65,293,505
4,66,315,497
5,67,358,505
6,68,397,508
7,69,431,507
8,70,456,509
9,71,494,504
10,72,530,504
11,73,559,508
12,74,590,508
13,75,629,504
14,76,665,508
15,77,701,511
16,78,728,510
17,79,768,504
18,80,800,500
19,81,831,494
20,82,864,505
21,83,899,498
22,84,931,497
23,85,968,504
24,86,990,486
25,87,1028,489
26,88,1056,488
27,89,1090,486
28,90,1128,482
29,91,1154,481
30,92,1179,476
31,93,1177,476
32,94,1161,474
33,95,1156,471
34,96,1148,470
35,97,1145,464
36,98,1130,464
37,99,1127,462
38,100,1123,456
39,101,1120,453
40,102,1112,448
41,103,1104,431
42,104,1098,441
43,105,1087,436
44,106,1087,436
45,107,1070,424
46,108,1065,420
47,109,1056,413
48,110,1053,411
49,111,1052,404
50,112,1040,393
51,113,1036,388
52,114,1022,379
53,115,1017,382
54,116,1018,382
55,117,1015,379
56,118,1001,370
57,119,982,352
58,120,982,348
59,121,980,335
60,122,978,330
61,123,969,326
62,124,963,307
63,125,963,317
64,126,956,308
65,127,947,299
66,128,937,292
67,129,938,293
68,130,937,286
69,131,928,281
70,132,924,278
71,133,917,271
72,134,910,258
73,135,900,256
74,136,896,255
75,137,889,249
76,138,887,256
77,139,881,248
78,140,882,248
80,141,870,244
81,142,869,244
82,143,857,243
83,144,854,242
84,145,848,242
85,146,847,241
86,147,837,245
87,148,833,251
88,149,830,258
89,150,838,253
90,151,847,260
91,152,854,265
92,153,869,263
93,154,875,261
94,155,882,264
95,156,891,274
96,157,899,274
97,158,901,274
98,159,910,273
99,160,919,276
100,161,928,280
101,162,940,287
102,163,945,288
103,164,952,294
104,165,957,296
105,166,964,307
106,167,969,307
107,168,982,314
108,169,982,313
109,170,986,317
110,171,989,320
111,172,997,325
112,173,1007,330
113,174,1012,340
114,175,1011,336
115,176,1021,346
116,177,1023,344
117,178,1028,350
118,179,1034,353
119,180,1035,353
120,181,1040,355
121,182,1052,355
122,183,1063,361
123,184,1053,359
124,185,1058,363
125,186,1063,362
126,187,1068,363
127,188,1072,367
128,189,1071,363
129,190,1073,369
130,191,1066,378
131,192,1061,379
132,193,1061,375
133,194,1062,386
134,195,1061,387
135,196,1052,390
136,197,1052,390
137,198,1053,387
138,199,1052,388
139,201,1041,394
140,202,1044,394
141,203,1039,394
142,204,1037,390
143,205,1034,384
144,206,1034,385
145,207,1040,387
146,208,1031,380
147,209,1030,379
148,210,1025,376
149,211,1025,374
150,212,1019,367
151,213,1018,366
152,214,1016,366
153,215,1008,361
154,216,1003,349
155,217,1009,351
156,218,1001,352
157,219,1007,346
158,220,1004,344
159,221,999,344
160,222,969,347
161,223,948,338
162,224,920,334
163,225,878,324
164,226,876,322
165,227,847,322
166,228,826,310
167,229,810,311
168,230,776,302
169,231,754,300
170,232,739,298
171,233,721,292
172,234,695,292
173,235,674,289
174,236,655,284
175,237,644,281
176,238,625,278
177,239,599,276
178,240,577,272
179,241,558,271
180,242,547,266
181,243,550,274
182,244,538,270
183,245,529,273
184,246,531,279
185,247,533,285
186,248,528,280
187,249,526,292
188,250,533,293
189,251,538,295
190,252,538,303
191,253,540,310
192,254,539,315
193,255,540,318
194,256,541,316
195,257,547,320
196,258,546,323
198,259,550,324
199,260,558,336
200,261,560,335
201,262,562,335
202,263,565,345
203,264,569,348
204,265,574,349
205,266,577,350
206,267,581,353
207,268,585,358
208,269,581,360
209,270,589,362
210,272,602,366
211,273,604,366
212,274,615,360
213,275,624,367
214,276,621,374
215,277,630,376
216,278,639,373
217,279,644,367
218,280,641,372
219,281,645,375
220,282,657,374
221,283,658,375
222,284,658,377
223,285,664,381
224,286,671,386
225,287,670,381
226,288,675,385
227,289,683,396
228,290,691,395
229,291,686,397
230,292,701,403
231,293,698,393
232,294,700,396
233,295,705,396
234,296,708,394
235,297,718,390
236,298,725,389
237,299,721,396
238,300,734,394
239,301,735,394
240,302,721,381
241,303,712,368
242,304,710,365
243,305,702,350
245,306,699,349
246,307,688,335
247,308,683,326
248,309,672,308
249,310,659,297
250,311,655,292
251,312,652,288
252,313,652,275
253,314,652,268
254,315,640,257
255,316,636,253
256,317,633,244
257,318,628,236
258,319,627,235
259,320,628,220
260,321,615,224
261,322,606,211
262,323,608,210
263,324,606,210
264,325,600,209
265,326,593,203
266,327,589,202
267,328,586,203
268,329,587,207
269,330,589,206
270,331,582,204
271,332,580,200
272,333,572,201
273,334,571,208
274,335,566,210
275,336,558,216
276,337,570,212
277,338,565,220
278,339,564,227
279,340,567,228
280,341,566,228
281,342,571,237
283,343,566,235
284,344,476,232
285,345,425,237
286,346,358,263
287,347,312,262
288,348,324,268
289,349,371,274
290,350,366,283
291,351,381,288
292,352,382,297
293,353,395,308
294,354,402,308
295,355,407,315
296,356,409,315
297,357,420,329
298,358,432,329
299,359,434,330
300,360,436,334
301,361,452,356
302,362,456,359
303,363,460,358
304,364,477,363
305,365,483,373
306,366,502,381
307,367,502,381
308,368,505,384
309,375,468,420
310,376,414,412
311,377,371,419
312,379,353,400
313,380,343,385
314,381,324,375
315,382,320,363
316,383,312,352
317,384,307,339
318,385,285,334
319,386,286,316
320,387,268,302
321,388,266,297
322,389,257,289
323,390,250,280
324,391,243,273
325,392,242,259
326,393,235,252
327,394,231,240
328,395,230,230
329,396,224,218
330,397,222,212
331,398,221,199
332,399,215,201
333,400,211,203
334,401,211,190
335,402,204,179
336,403,199,179
337,404,198,173
338,405,196,171
339,406,198,167
340,407,197,166
341,408,193,165
342,409,193,164
343,410,190,162
344,411,190,158
345,412,191,159
346,413,192,151
347,414,193,156
348,415,197,157
349,416,202,159
350,417,205,161
351,418,206,162
352,419,209,162
353,420,220,159
354,421,228,162
355,422,223,163
356,423,226,162
357,424,228,162
358,425,234,161
359,426,237,161
360,427,244,167
361,428,246,167
362,429,252,169
363,430,255,169
364,431,264,172
365,432,270,183
366,433,278,188
367,434,283,193
368,448,386,184
369,452,421,172
370,453,431,171
371,454,446,169
372,455,457,178
373,456,465,178
374,457,479,169
375,458,485,174
376,459,492,178
377,460,504,182
378,461,513,183
379,462,529,184
380,463,534,187
381,464,539,200
382,465,547,206
383,466,555,203
384,467,576,208
385,468,581,220
386,469,597,224
387,470,605,228
388,471,616,233
389,472,623,241
391,473,633,245
392,474,647,258
393,475,654,266
394,476,670,272
395,477,677,275
396,478,689,288
397,479,705,298
398,480,708,304
399,481,717,307
400,482,730,322
401,483,741,325
402,484,758,332
403,485,764,345
404,486,771,350
405,487,787,359
406,488,792,360
407,489,802,367
408,490,816,380
409,491,829,388
410,492,840,393
